X,Y,id,data,luogo,x,y,numero_predati,specie_predate,osservazioni,icon_url
8.45132705956641,46.3168752551881,537,2023/08/08 00:00:00,Bosco Gurin,2678000,1130000,2,pecore,"Animali non proteggibili Riscontro DNA: ""lupo"".",./1.png
8.68912582512178,46.4944343396255,538,2023/08/07 00:00:00,Ambrì,2696000,1150000,1,,"Animali non protetti adeguatamente Riscontro DNA: ""Canis spp."".",./1.png
8.83866489576774,46.2317747944477,539,2023/08/07 00:00:00,Corippo,2708000,1121000,1,atto di predazione da parte del lupo ai danni di un agnello,Animali non protetti adeguatamente,./1.png
8.85918732264363,46.0245869282045,540,2023/08/04 00:00:00,Breno,2710000,1098000,1,pecora,"Animali non protetti adeguatamente Riscontro DNA: ""volpe"".",./1.png
8.96590310216778,46.6080149871917,541,2023/08/04 00:00:00,Blenio (Bandita federale di caccia),2717000,1163000,9,pecore,"Alcuni animali dispersi Animali non proteggibili Riscontro DNA: ""lupo"".",./2.png
8.45149462560412,46.3258701373851,542,2023/07/31 00:00:00,Bosco Gurin,2678000,1131000,1,pecora,"Animali non proteggibili Riscontro DNA: ""Canis spp."".",./1.png
8.99008287229548,46.0858403442264,544,2023/07/31 00:00:00,Capriasca,2720000,1105000,1,capra,"Riscontro DNA: ""Lupo""",./1.png
9.06736464961632,46.0757526813952,546,2023/07/30 00:00:00,Valcolla,2726000,1104000,1,carcassa di capra in avanzato stato di decomposizione,Quattro animali segnalati dispersi Animali non protetti adeguatamente DNA non raccoglibile.,./1.png
8.97690405694974,46.0770236926282,547,2023/07/29 00:00:00,Capriasca,2719000,1104000,1,pecora,"Animali non protetti adeguatamente Riscontro DNA: ""non interpretabile"".",./1.png
8.95285280249035,46.6081893442456,548,2023/07/28 00:00:00,Blenio (Bandita federale di caccia),2716000,1163000,4,pecore,"Animali non protetti adeguatamente Riscontro DNA: ""lupo"".",./0.png
9.0133877517486,46.4454143983629,549,2023/07/26 00:00:00,Malvaglia,2721000,1145000,1,pecora,"Animali non proteggibili Riscontro DNA: ""Canis spp.""",./1.png
8.45132705956641,46.3168752551881,550,2023/07/25 00:00:00,Bosco Gurin,2678000,1130000,1,lama,,./1.png
8.85918732264363,46.0245869282045,551,2023/07/23 00:00:00,Breno,2710000,1098000,1,pecora,"Animali non protetti adeguatamente Riscontro DNA: ""volpe"".",./1.png
8.99008287229548,46.0858403442264,552,2023/07/20 00:00:00,Capriasca,2720000,1105000,1,pecora,"Animali non protetti adeguatamente Riscontro DNA: ""lupo"".",./1.png
8.62086652486907,46.3512187580989,553,2023/07/18 00:00:00,Brontallo,2691000,1134000,1,pecora,"Animali non protetti adeguatamente Riscontro DNA: ""Non interpretabile""",./1.png
8.76726672700106,46.4935472808354,554,2023/07/17 00:00:00,Faido,2702000,1150000,1,capretto,Animali protetti adeguatamente DNA non raccoglibile,./1.png
9.01126843209569,45.9235958093627,555,2023/07/12 00:00:00,Roncapiano,2722000,1087000,1,agnello,"Due animali dispersi Animali non proteggibili Riscontro DNA: ""Lupo""",./1.png
8.96473510487216,46.1041808603546,556,2023/07/05 00:00:00,Capriasca,2718000,1107000,1,capra,"Due animali dispersi Animali non proteggibili Riscontro DNA: ""Lupo""",./1.png
9.06736464961632,46.0757526813952,557,2023/07/04 00:00:00,Capriasca,2726000,1104000,1,capra,"Individuo non protetto adeguatamente Riscontro DNA: ""Volpe""",./1.png
9.04363471353916,46.1480726771621,558,2023/07/04 00:00:00,Isone,2724000,1112000,1,capra ferita,"Due animali dispersi Animali non proteggibili Riscontro DNA: ""lupo"".",./1.png
8.89604401094014,46.4379848898497,559,2023/07/03 00:00:00,Acquarossa,2712000,1144000,1,capra ferita,"Animali protetti adeguatamente Riscontro DNA: ""Cane""",./1.png
8.76550459714386,46.4215925605735,560,2023/06/23 00:00:00,Chironico,2702000,1142000,7,pecore,"Alcuni animali dispersi Animali non protetti adeguatamente Riscontro DNA: ""Canis spp."".",./2.png
8.43834534169046,46.3169905962177,561,2023/06/19 00:00:00,Bosco Gurin,2677000,1130000,2,pecore,"Animali non proteggibili Riscontro DNA: ""volpe""",./1.png
8.88691664212925,46.0962100773358,562,2023/06/16 00:00:00,Mezzovico,2712000,1106000,1,capra,"Animali non protetti adeguatamente Riscontro DNA: ""volpe""",./1.png
8.9781723353327,46.1219927855272,563,2023/06/15 00:00:00,Capriasca,2719000,1109000,1,capra,"Animali non protetti adeguatamente Riscontro DNA: ""non interpretabile""",./1.png
9.04151919452364,46.0761232390231,564,2023/06/07 00:00:00,Cimadera,2724000,1104000,4,pecore,"Animali non protetti adeguatamente Riscontro DNA: ""lupo""",./0.png
8.97639732637447,46.0590360992301,565,2023/06/07 00:00:00,Capriasca,2719000,1102000,1,agnello in avanzato stato di decomposizione e di una pecora ferita,"Animali non protetti adeguatamente Riscontro DNA: ""ungulato""",./1.png
8.92157107093994,46.419659648845,566,2023/06/03 00:00:00,Ludiano,2714000,1142000,1,pecora,Animali protetti adeguatamente Riscontro DNA: non interpretabile,./1.png
8.99008287229548,46.0858403442264,567,2023/05/31 00:00:00,Capriasca,2720000,1105000,1,capra,Animali non protetti adeguatamente Riscontro DNA: lupo,./1.png
9.05215259079013,46.4358722761013,568,2023/05/26 00:00:00,Malvaglia,2724000,1144000,1,,,./1.png
8.8349736412278,46.0878683458284,569,2023/05/26 00:00:00,Indemini,2708000,1105000,14,pecore,Animali non proteggibili Riscontro DNA: lupo,./2.png
9.05215259079013,46.4358722761013,570,2023/05/21 00:00:00,Malvaglia,2724000,1144000,1,pecore,Animali non proteggibili Riscontro DNA: lupo,./1.png
8.93681150387865,46.5004348101004,571,2023/05/01 00:00:00,Aquila,2715000,1151000,13,pecore,Animali non protetti adeguatamente Riscontro DNA: lupo,./2.png
9.02389480911435,45.9144211986357,572,2023/04/25 12:00:00,Roncapiano,2723000,1086000,1,agnello,Riscontro DNA: campione non interpretabile.,./1.png
8.92594560356792,46.104699150405,573,2023/04/08 00:00:00,Bironico,2715000,1107000,1,lupo,,./1.png
8.98422470232874,45.8789854860119,574,2023/03/27 00:00:00,Somazzo,2720000,1082000,6,pecore,Alcuni animali dispersi Animali non protetti adeguatamente Riscontro DNA: lupo,./2.png
8.86883882008934,46.3933453887844,575,2023/03/06 00:00:00,Giornico,2710000,1139000,1,cavallo con lievi ferite,Riscontro DNA: cane.,./1.png
8.8186719315954,46.4659433370477,576,2023/01/16 00:00:00,Faido,2706000,1147000,1,pecora,Animali non protetti adeguatamente Riscontro DNA: lupo,./1.png
8.88500954992229,46.024258199657,577,2023/01/07 00:00:00,Cademario,2712000,1098000,1,capra,Animali non protetti adeguatamente Riscontro DNA: non interpretabile,./1.png
8.97690405694974,46.0770236926282,578,2023/01/05 00:00:00,Lelgio,2719000,1104000,1,capra,Animali non protetti adeguatamente DNA non raccoglibile causa avanzato stato di decomposizione,./1.png
8.58189769658437,46.351618656584,579,2022/11/21 00:00:00,Cevio,2688000,1134000,2,capre,In attesa di riscontro DNA,./1.png
8.77364132574416,46.223564512004,580,2022/11/13 00:00:00,Avegno Gordevio,2703000,1120000,1,capra,in attesa di riscontro DNA,./1.png
8.97690405694974,46.0770236926282,581,2022/11/13 00:00:00,Capriasca,2719000,1104000,1,pecora,In attesa di riscontro DNA,./1.png
8.57059459149811,46.4327012784895,582,2022/11/13 00:00:00,Lavizzara,2687000,1143000,1,capra,in attesa di riscontro DNA,./1.png
8.96423213792792,46.0861931714391,583,2022/11/06 00:00:00,Lelgio,2718000,1105000,1,capra ferita,In attesa di riscontro DNA,./1.png
8.9261908151993,46.1136930883076,584,2022/11/06 00:00:00,Bironico,2715000,1108000,1,pecora,In attesa di riscontro DNA,./1.png
8.89984466455538,46.096043273979,585,2022/11/02 00:00:00,Mezzovico,2713000,1106000,1,capra,In attesa di riscontro DNA,./1.png
8.96423213792792,46.0861931714391,586,2022/11/02 00:00:00,Lelgio,2718000,1105000,1,capra,in attesa di riscontro DNA,./1.png
8.83797130901988,46.2047922531845,587,2022/11/02 00:00:00,Mergoscia,2708000,1118000,1,pecora,In attesa di riscontro DNA,./1.png
8.89888197665108,46.0600673881173,588,2022/10/30 00:00:00,Torricella,2713000,1102000,1,capra,Animali non proteggibili In attesa di riscontro DNA,./1.png
8.45082469231934,46.2898906157568,589,2022/10/30 00:00:00,Campo (Vallemaggia),2678000,1127000,1,lupo,"Le analisi per determinare età, sesso, individuo, e la possibile causa di morte sono attualmente in corso in collaborazione con l’Istituto per la salute dei pesci e della fauna selvatica (FIWI) di Berna",./1.png
8.52885543755802,46.298162409431,590,2022/10/24 00:00:00,Cerentino,2684000,1128000,2,pecore,Animali non protetti adeguatamente In attesa di riscontro DNA,./1.png
8.88596247234657,46.0602340826627,591,2022/10/23 00:00:00,Arosio,2712000,1102000,1,capra,Animali non proteggibili In attesa di riscontro DNA,./1.png
8.52017130971646,46.5141613017975,753,2004/07/19 16:59:01,Bedretto,2683000,1152000,4,pecore uccise,,./0.png
8.71559703014808,46.512133474568,592,2022/10/23 00:00:00,Quinto,2698000,1152000,1,asino,In attesa di riscontro DNA 23 ottobre 2022,./1.png
8.87264074687757,46.537251429032,593,2022/10/15 00:00:00,Camperio,2710000,1155000,1,vitello,Riscontro DNA: lupo,./1.png
8.89888197665108,46.0600673881173,594,2022/10/14 00:00:00,Torricella,2713000,1102000,1,capra,Animali non proteggibili In attesa di riscontro DNA,./1.png
8.89628575089703,46.446978972011,595,2022/10/05 00:00:00,Acquarossa,2712000,1145000,2,capre ferite,Animali non protetti adeguatamente In attesa di riscontro DNA,./1.png
8.99008287229548,46.0858403442264,596,2022/09/25 00:00:00,Capriasca,2720000,1105000,1,capra ferita,Animali non protetti adeguatamente Riscontro DNA: canide,./1.png
8.50307726678481,46.3074041947641,597,2022/09/24 00:00:00,Bosco Gurin,2682000,1129000,1,asino,Riscontro DNA: lupo,./1.png
