Data,Luogo,X,Y,Numero_Predati,Specie_Predate,Osservazioni,Long,Lat
2025-05-11 00:00:00,Acquarossa,2713864,1147688,2,pecore,Un'ulteriore pecora segnalata come dispersa Animali protetti adeguatamente Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo.,8.92120043725736,46.47084079812334
2025-05-10 00:00:00,Malvaglia,2722192,1141529,1,pecora e un agnello,Animali non proteggibili Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo.,9.027981705618897,46.413980659988475
2025-05-07 00:00:00,Pianezzo,2723233,1115125,3,pecore,Un'ulteriore pecora segnalata come dispersa Animali non protetti adeguatamente Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo.,9.03453257176742,46.17631880504057
2025-04-24 00:00:00,Lodrino,2719016,1127848,2,agnellini,Un terzo agnellino segnalato come disperso Animali non protetti adeguatamente Le analisi genetiche non hanno riscontrato il coinvolgimento di un grande predatore.,8.98317956284576,46.291506421410624
2025-04-21 00:00:00,Roncapiano,2723010,1087014,1,agnelli,Tre ulteriori agnelli segnalati come dispersi Animali non protetti adeguatamente Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo.,9.02428779697748,45.923538829885516
2025-04-20 00:00:00,Cademario,2712439,1097948,1,agnello,Animali non protetti adeguatamente Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo.,8.890665059052553,46.023717565770596
2025-04-12 00:00:00,Rancate,2718447,1081705,1,pecora,Tre agnelli segnalati come dispersi Animali non protetti adeguatamente Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo.,8.96415354562418,45.87660582643917
2025-04-07 00:00:00,Novaggio,2708919,1097891,1,montone,Animali non protetti adeguatamente Le analisi genetiche hanno riscontrato il coinvolgimento un lupo.,8.8452050452952,46.02378178948437
2025-03-23 00:00:00,Cademario,2712632,1098546,2,capre,Animali non protetti adeguatamente Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo.,8.893300043284587,46.02906378118898
2025-02-26 00:00:00,Cademario,2712162,1097108,1,pecora,Animali non protetti adeguatamente Le analisi genetiche non hanno riscontrato il coinvolgimento di un grande predatore.,8.88688849781357,46.01620871193179
2025-02-20 00:00:00,Rivera,2714615,1108452,8,pecore,Animali non protetti adeguatamente Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo.,8.921322446663075,46.117823913074645
2025-02-17 00:00:00,Torricella,2714581,1102320,2,pecore,Animali non protetti adeguatamente Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo.,8.919385597579858,46.062678873370125
2025-02-14 12:00:00,Avegno-Gordevio,2700916,1117271,2,pecore,Animali non protetti adeguatamente Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo.,8.746045975462454,46.19933466773598
2025-01-24 00:00:00,Isone,2718703,1109413,2,pecore,Animali non protetti adeguatamente Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo,8.974435556612566,46.12575960613445
2025-01-22 00:00:00,Cademario,2712668,1098698,1,vitellino appena nato ferito,Le analisi genetiche non hanno riscontrato il coinvolgimento di un grande predatore,8.893801291134697,46.03042485480235
2025-01-19 00:00:00,Tresa,2705824,1095808,1,pecora,Animali non protetti adeguatamente DNA non raccoglibile causa avanzato stato di decomposizione,8.804776624466719,46.005539126670136
2025-01-03 00:00:00,Astano,2706505,1096131,1,pecora,Un capo segnalato come disperso Animali non protetti adeguatamente Le analisi genetiche hanno confermato il coinvolgimento di un lupo,8.813639246543792,46.00833719924634
2024-12-31 00:00:00,Rivera,2714000,1108000,1,pecora,Animali non protetti adeguatamente Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo,8.913258688075414,46.113862913030054
2024-12-13 00:00:00,Iragna,2716000,1130000,1,capra,Animali non protetti adeguatamente Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo,8.944584996941993,46.31138882799312
2024-12-03 00:00:00,Mezzovico,2714000,1106000,1,capra,Animali non protetti adeguatamente Le analisi genetiche non hanno riscontrato il coinvolgimento di un grande predatore,8.912772608147826,46.09587498764416
2024-12-01 00:00:00,Villa Luganese,2720000,1101000,1,pecore e una capra,Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo,8.989060896993673,46.049865273414504
2024-11-19 08:00:00,Brissago,2696000,1107000,1,pecora,Animali non protetti adeguatamente -Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo,8.680262762399675,46.107671649473986
2024-11-09 00:00:00,Vezio,2711000,1001009,3,pecore,Un capo segnalato come disperso Animali non proteggibili Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo.,8.849569586476354,45.152158609708145
2024-11-08 00:00:00,Acquarossa,2711000,1148000,2,pecore,Animali non protetti adeguatamente Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo.,8.88399322932781,46.474127663750494
2024-11-03 00:00:00,Seseglio,2721000,1076000,1,vitellino,Animali protetti adeguatamente Le analisi genetiche non hanno riscontrato il coinvolgimento di un grande predatore.,8.995567459381459,45.82484642947891
2024-11-03 00:00:00,Fescoggia,2711000,1100000,1,capra,Animali non proteggibili In attesa di riscontro analisi DNA,8.872570528101,46.042411284964416
2024-11-01 00:00:00,Faido,2707000,1147000,2,pecore,Animali non protetti adeguatamente Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo,8.831688381486867,46.46578436823785
2024-10-31 00:00:00,Fusio,2696000,1146000,1,capra,Animali non proteggibili Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo,8.688296044974207,46.458456417913595
2024-10-29 00:00:00,Gordevio,2701000,1121000,1,capra,Animali non proteggibili Le analisi genetiche non hanno riscontrato il coinvolgimento di un grande predatore.,8.747940175971324,46.23286202813548
2024-10-27 00:00:00,Fescoggia,2711000,1100000,1,capra,Animali non proteggibili Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo,8.872570528101,46.042411284964416
2024-10-26 00:00:00,Campo Vallemaggia,2684000,1126000,1,capra ferita,Diversi capi segnalati come dispersi Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo,8.52849492890155,46.280172891131286
2024-10-19 00:00:00,Valcolla,2726000,1104000,1,capra,Animali non protetti adeguatamente In attesa riscontro analisi DNA,9.067364649616316,46.075752681395244
2024-10-12 00:00:00,Blenio,2715000,1160000,1,pecora,Animali protetti adeguatamente Lupo osservato durante la predazione.,8.939053574803857,46.58138042921835
2024-10-09 00:00:00,Valcolla,2723000,1104000,1,vitellino,Animali protetti adeguatamente Le analisi genetiche non hanno riscontrato il coinvolgimento di grande predatore.,9.028596337027581,46.07630629440653
2024-10-07 11:20:00,Capriasca,2719000,1104000,1,vitello,Animali non proteggibili -Le analisi genetiche non hanno riscontrato il coinvolgimento di grande predatore.,8.976904056949742,46.0770236926282
2024-10-07 11:20:00,Capriasca,2719000,1104000,1,vitello,Animali non proteggibili -Le analisi genetiche non hanno riscontrato il coinvolgimento di grande predatore.,8.976904056949742,46.0770236926282
2024-10-03 00:00:00,Gordevio,2703000,1122000,1,capra,Un capo segnalato come disperso Animali non proteggibili Le analisi genetiche hanno confermato il coinvolgimento di un grande predatore,8.774082527486579,46.24155313840227
2024-10-01 00:00:00,Novazzano,2714000,1107000,1,asinello,Le analisi genetiche non hanno riscontrato il coinvolgimento di un grande predatore.,8.913015608323796,46.10486894740946
2024-09-18 00:00:00,Chironico,2702000,1141000,1,vitello,Animali non protetti adeguatamente Le analisi genetiche non hanno riscontrato il coinvolgimento di un grande predatore.,8.765284658201159,46.41259821020533
2024-09-08 00:00:00,Monte Carasso,2716000,1120000,4,pecore,Animali non proteggibili Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo.,8.942097316009955,46.221449074250344
2024-09-04 00:00:00,Valcolla,2726000,1103000,1,capra,Le analisi genetiche non hanno riscontrato il coinvolgimento di un grande predatore.,9.067096341864515,46.06675908865448
